"covariateId","covariateName","analysisId","conceptId","covariateValue"
1904,"CHADS2VASc",904,0,1.15902001308149
1903,"CHADS2",903,0,-0.898823774504659
23301111,"Cohort_covariate during day -365 through 0 days relative to index:  ISUP Grade 5  ",111,-1,0.59028536599127
23001111,"Cohort_covariate during day -365 through 0 days relative to index:  ISUP Grade 2  ",111,-1,-0.57227563217203
23501111,"Cohort_covariate during day -365 through 0 days relative to index:  PSA lower than 10  ",111,-1,-0.497872649359876
23601111,"Cohort_covariate during day -365 through 0 days relative to index:  PSA 10 to 20  ",111,-1,-0.256064131917749
1002,"age in years",2,0,-0.24647215018615
23701111,"Cohort_covariate during day -365 through 0 days relative to index:  PSA higher than 20  ",111,-1,-0.0884540330172995
22901111,"Cohort_covariate during day -365 through 0 days relative to index:  ISUP Grade 1  ",111,-1,0
23101111,"Cohort_covariate during day -365 through 0 days relative to index:  ISUP Grade 3  ",111,-1,0
23201111,"Cohort_covariate during day -365 through 0 days relative to index:  ISUP Grade 4  ",111,-1,0
