"covariateId","covariateName","analysisId","conceptId","covariateValue"
2000000020502,"procedure_occurrence during day -365 through 0 days relative to index: Radiotherapy, Other",502,2000000020,1.95137798685026
4041008102,"condition_occurrence during day -365 through 0 days relative to index: G2 grade",102,4041008,1.48916312906835
4264742102,"condition_occurrence during day -365 through 0 days relative to index: G3 grade",102,4264742,1.38859665429073
4204361102,"condition_occurrence during day -365 through 0 days relative to index: G1 grade",102,4204361,1.13360928894381
35934087102,"condition_occurrence during day -365 through 0 days relative to index: Grade Group 1: Gleason score less than or equal to 6",102,35934087,-0.743282343789777
3040854702,"measurement during day -365 through 0 days relative to index: SPECT Bone",702,3040854,0.50644297972835
4203608102,"condition_occurrence during day -365 through 0 days relative to index: N1 category",102,4203608,0.486041829614951
4127612102,"condition_occurrence during day -365 through 0 days relative to index: Tumor stage T4a",102,4127612,0.456690988652114
4268703802,"observation during day -365 through 0 days relative to index: Biopsy finding",802,4268703,-0.424304910344165
2000000013802,"observation during day -365 through 0 days relative to index: Biopsy or assessment recommended",802,2000000013,0.393540631839797
1904,"CHADS2VASc",904,0,0.382123824975814
4149726102,"condition_occurrence during day -365 through 0 days relative to index: M0 category",102,4149726,-0.334938349517002
3051506702,"measurement during day -365 through 0 days relative to index: XR Bones Survey Views for metastasis",702,3051506,-0.32666325137366
1903,"CHADS2",903,0,0.299532060734686
35930757102,"condition_occurrence during day -365 through 0 days relative to index: Grade Group 2: Gleason score 7|Gleason pattern 3+4",102,35930757,-0.239603802607943
4129917102,"condition_occurrence during day -365 through 0 days relative to index: Tumor stage T2a",102,4129917,-0.231731156817351
4129126102,"condition_occurrence during day -365 through 0 days relative to index: Tumor stage T1b",102,4129126,0.206688493350137
4129916102,"condition_occurrence during day -365 through 0 days relative to index: Tumor stage T1c",102,4129916,-0.194866639518997
4029715502,"procedure_occurrence during day -365 through 0 days relative to index: Radiation oncology AND/OR radiotherapy",502,4029715,-0.161933263667592
2000000187802,"observation during day -365 through 0 days relative to index: BCR free years",802,2000000187,0.103219192312227
4266674102,"condition_occurrence during day -365 through 0 days relative to index: N0 category",102,4266674,-0.0874717375907664
4190466502,"procedure_occurrence during day -365 through 0 days relative to index: No anti-cancer treatment - watchful waiting",502,4190466,-0.0592070058356636
2000000008802,"observation during day -365 through 0 days relative to index: Assigned to control trial arm",802,2000000008,0.0361069983310959
4129127102,"condition_occurrence during day -365 through 0 days relative to index: Tumor stage T2c",102,4129127,0.029180134612345
2000000016502,"procedure_occurrence during day -365 through 0 days relative to index: Neoadjuvant endocrine therapy",502,2000000016,0.00399535191672003
4339403502,"procedure_occurrence during day -365 through 0 days relative to index: Transrectal biopsy of prostate",502,4339403,-0.00122101543426871
4190466802,"observation during day -365 through 0 days relative to index: No anti-cancer treatment - watchful waiting",802,4190466,-0.000933197193460166
2000000195102,"condition_occurrence during day -365 through 0 days relative to index: Death definitely due to prostate cancer",102,2000000195,0
4098852102,"condition_occurrence during day -365 through 0 days relative to index: MX category",102,4098852,0
4129919102,"condition_occurrence during day -365 through 0 days relative to index: Tumor stage T3c",102,4129919,0
4130416102,"condition_occurrence during day -365 through 0 days relative to index: Tumor stage T3b",102,4130416,0
35921496102,"condition_occurrence during day -365 through 0 days relative to index: Grade Group 4: Gleason score 8",102,35921496,0
4195718102,"condition_occurrence during day -365 through 0 days relative to index: NX category",102,4195718,0
4129918102,"condition_occurrence during day -365 through 0 days relative to index: Tumor stage T3a",102,4129918,0
4127611102,"condition_occurrence during day -365 through 0 days relative to index: Tumor stage T2b",102,4127611,0
2000000189102,"condition_occurrence during day -365 through 0 days relative to index: Intercurrent death",102,2000000189,0
35928355102,"condition_occurrence during day -365 through 0 days relative to index: Grade Group 5: Gleason score 9 or 10",102,35928355,0
4205430102,"condition_occurrence during day -365 through 0 days relative to index: M1 category",102,4205430,0
44793131000706,"measurement value during day -365 through 0 days relative to index: Total prostate specific antigen level (Unknown unit)",706,44793131,0
2617205702,"measurement during day -365 through 0 days relative to index: Prostate cancer screening; digital rectal examination",702,2617205,0
3001108702,"measurement during day -365 through 0 days relative to index: US Prostate transrectal",702,3001108,0
44793131702,"measurement during day -365 through 0 days relative to index: Total prostate specific antigen level",702,44793131,0
2000000007802,"observation during day -365 through 0 days relative to index: Assigned to intervention trial arm",802,2000000007,0
44802632802,"observation during day -365 through 0 days relative to index: Invitation to participate in clinical trial",802,44802632,0
2000000196802,"observation during day -365 through 0 days relative to index: Routine recall",802,2000000196,0
2000000018502,"procedure_occurrence during day -365 through 0 days relative to index: Surgical endocrine therapy",502,2000000018,0
2000000017502,"procedure_occurrence during day -365 through 0 days relative to index: Pharmacological endocrine therapy",502,2000000017,0
40480502502,"procedure_occurrence during day -365 through 0 days relative to index: Conformal radiotherapy",502,40480502,0
1002,"age in years",2,0,0
